VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
1038,11262,23,11262_16_23,Inter-Mountain Basins Montane Sagebrush Steppe-Low Sagebrush,Shrubland,219,NA,NA,219,100,NA,NA,V-A,255,197,191,1,0.77254902,0.749019608
1039,11270,23,11270_16_23_24_25,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,105,NA,NA,105,100,NA,NA,IV-B,194,158,215,0.760784314,0.619607843,0.843137255
1040,11350,23,11350_16_23_24,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,NA,NA,25,100,NA,NA,II-C,185,174,211,0.725490196,0.682352941,0.82745098
1041,11460,23,11460_15_16_23_24_25_28,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,20,NA,21,10,52,NA,48,I-B,167,205,178,0.654901961,0.803921569,0.698039216
1042,11530,23,11530_16_23_24_25_27,Inter-Mountain Basins Greasewood Flat,Shrubland,208,NA,NA,208,100,NA,NA,V-A,225,225,225,0.882352941,0.882352941,0.882352941
1043,11590,23,11590_16_23_24_26,Rocky Mountain Montane Riparian Systems,Riparian,270,NA,79,61,23,NA,77,III-A,123,124,93,0.482352941,0.48627451,0.364705882
1044,11600,23,11600_23,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,274,NA,79,62,22,NA,78,III-A,49,165,167,0.192156863,0.647058824,0.654901961
1045,10010,12,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039
1046,10040,12,10040,North American Warm Desert Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,242,189,1,0.949019608,0.741176471
1047,10060,12,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,0.305882353,0.305882353,0.305882353
1048,10110,12,10110_6_10_12_17_18_19,Rocky Mountain Aspen Forest and Woodland,Hardwood,68,57,NA,31,46,54,NA,I-C,255,255,115,1,1,0.450980392
1049,10170,12,10170_6_7_8_9_12_18,Columbia Plateau Western Juniper Woodland and Savanna,Conifer,445,272,NA,169,38,62,NA,III-B,14,245,98,0.054901961,0.960784314,0.384313725
1050,10190,12,10190_6_7_9_12_16_17_18_19,Great Basin Pinyon-Juniper Woodland,Conifer,865,898,NA,440,51,49,NA,V-A,115,76,0,0.450980392,0.298039216,0
1051,10200,12,10200_6_9_12_17,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Conifer,497,NA,200,143,29,NA,71,III-B,14,46,57,0.054901961,0.180392157,0.223529412
1054,10310,12,10310_2_3_4_5_6_12,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Conifer,165,84,11,9,6,11,83,I-B,167,70,0,0.654901961,0.274509804,0
1055,10330,12,10330_12,Mediterranean California Subalpine Woodland,Conifer,349,78,NA,64,18,82,NA,III-A,226,194,162,0.88627451,0.760784314,0.635294118
1056,10520,12,10520_12,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,186,91,72,33,18,36,46,I-C,115,149,230,0.450980392,0.584313725,0.901960784
1057,10570,12,10570_12_16,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer,508,NA,199,143,28,NA,72,III-B,227,223,162,0.890196078,0.874509804,0.635294118
1058,10580,12,10580_12,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Conifer,159,51,466,36,23,69,8,III-A,127,234,0,0.498039216,0.917647059,0
1059,10620,12,10620_6_12_17_18,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,288,149,238,69,24,47,29,III-A,191,19,230,0.749019608,0.074509804,0.901960784
1060,10790,12,10790_6_9_10_12_16_17_18,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,94,831,NA,84,90,10,NA,IV-A,57,194,207,0.223529412,0.760784314,0.811764706
1062,10810,12,10810_6_12_13_17,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,1978,NA,NA,1978,100,NA,NA,V-B,245,202,122,0.960784314,0.792156863,0.478431373
1063,10820,12,10820_12_15_16_17_23_24,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,815,NA,NA,815,100,NA,NA,V-B,216,6,73,0.847058824,0.023529412,0.28627451
1064,10870,12,10870_4_6_12_13_14_15_17_24_25,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrubland,329,NA,NA,329,100,NA,NA,V-A,52,154,184,0.203921569,0.603921569,0.721568627
1065,10880,12,10880_12_13_14_25,Sonora-Mojave Mixed Salt Desert Scrub,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA,245,222,110,0.960784314,0.870588235,0.431372549
1066,11030,12,11030_6_7_12_13_16_17_23,Great Basin Semi-Desert Chaparral,Shrubland,50,NA,NA,50,100,NA,NA,IV-A,174,250,255,0.682352941,0.980392157,1
1067,11240,12,11240_10_12_17_18_19_21,Columbia Plateau Low Sagebrush Steppe,Shrubland,201,NA,NA,201,100,NA,NA,V-A,132,140,173,0.517647059,0.549019608,0.678431373
1068,11250,12,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117,NA,NA,117,100,NA,NA,IV-B,255,115,223,1,0.450980392,0.874509804
1069,11260,12,11260_6_12_17_18_28,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,49,NA,NA,49,100,NA,NA,IV-A,230,0,169,0.901960784,0,0.662745098
1070,11270,12,11270_10_12_13_17_18,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,225,NA,NA,225,100,NA,NA,V-A,194,158,215,0.760784314,0.619607843,0.843137255
1071,11350,12,11350_7_8_9_10_12_17_18,Inter-Mountain Basins Semi-Desert Grassland,Grassland,81,NA,NA,81,100,NA,NA,IV-A,185,174,211,0.725490196,0.682352941,0.82745098
1072,11440,12,11440_12_16_19_28,Rocky Mountain Alpine Turf,Grassland,207,NA,NA,207,100,NA,NA,V-A,93,43,29,0.364705882,0.168627451,0.11372549
1073,11530,12,11530_6_10_12_13_17_18_19_21,Inter-Mountain Basins Greasewood Flat,Shrubland,1024,NA,NA,1024,100,NA,NA,V-B,225,225,225,0.882352941,0.882352941,0.882352941
1074,11540,12,11540_6_12_16_17,Inter-Mountain Basins Montane Riparian Systems,Riparian,378,NA,NA,378,100,NA,NA,V-A,154,156,117,0.603921569,0.611764706,0.458823529
1075,11590,12,11590_12_17,Rocky Mountain Montane Riparian Systems,Riparian,379,NA,NA,379,100,NA,NA,V-A,123,124,93,0.482352941,0.48627451,0.364705882
1076,11600,12,11600_12_17,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,271,NA,79,61,23,NA,77,III-A,49,165,167,0.192156863,0.647058824,0.654901961
1077,10010,17,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039
1078,10110,17,10110_6_10_12_17_18_19,Rocky Mountain Aspen Forest and Woodland,Hardwood,68,57,NA,31,46,54,NA,I-C,255,255,115,1,1,0.450980392
1079,10120,17,10120_17_18_21,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,135,81,NA,51,37,63,NA,III-A,255,211,127,1,0.82745098,0.498039216
1080,10160,17,10160_17,Colorado Plateau Pinyon-Juniper Woodland,Conifer,427,194,2177,126,29,65,6,III-B,205,170,102,0.803921569,0.666666667,0.4
1081,10190,17,10190_6_7_9_12_16_17_18_19,Great Basin Pinyon-Juniper Woodland,Conifer,865,898,NA,440,51,49,NA,V-A,115,76,0,0.450980392,0.298039216,0
1082,10200,17,10200_6_9_12_17,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Conifer,497,NA,200,143,29,NA,71,III-B,14,46,57,0.054901961,0.180392157,0.223529412
1083,10510,17,10510_15_16_17_22_23_24_25,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,90,77,14,11,12,14,74,I-B,190,210,255,0.745098039,0.823529412,1
1084,10520,17,10520_17,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,184,91,72,33,18,36,46,I-C,115,149,230,0.450980392,0.584313725,0.901960784
1085,10540,17,10540_17,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,257,39,28,15,6,39,55,I-B,168,56,0,0.658823529,0.219607843,0
1086,10550,17,10550_17,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,176,16701,NA,174,99,1,NA,IV-B,211,255,190,0.82745098,1,0.745098039
